Step,X_ref,Y_ref,X_act,Y_act,Lat_Error,Delta_f,Vx,X_est,Y_est
221,102,-12.1625,101.247,-12.231,0.0315865,0.0629858,10.0961,101.078,-12.2213
222,102.5,-12.0829,101.747,-12.166,-0.0371049,0.105766,10.0901,101.639,-12.2302
223,103,-11.9975,102.245,-12.0825,-0.0776777,0.0996851,10.0872,102.122,-12.1908
224,103.5,-11.9064,102.742,-11.9938,0.0245798,0.110303,10.086,102.695,-12.0162
225,104,-11.8095,103.236,-11.8927,0.136409,0.126155,10.0843,103.23,-11.8528
226,104.5,-11.707,103.727,-11.778,0.12343,0.0415743,10.0825,103.709,-11.7556
227,105,-11.599,104.22,-11.674,0.0340391,-0.0619337,10.0789,104.105,-11.6979
228,105.5,-11.4856,104.717,-11.585,-0.0757098,0.00186827,10.08,104.552,-11.7768
229,106,-11.3667,105.209,-11.477,-0.153465,0.128486,10.0786,105.247,-11.7035
230,106.5,-11.2425,105.696,-11.342,-0.0148978,0.0540467,10.0733,105.748,-11.4789
231,107,-11.1131,106.185,-11.2246,0.0612467,0.134443,10.0751,106.189,-11.3287
232,107.5,-10.9786,106.668,-11.0764,0.0738676,-0.0387001,10.0749,106.613,-11.1151
233,108,-10.839,107.159,-10.9646,0.130011,-0.0630726,10.0762,107.147,-10.9027
234,108.5,-10.6945,107.65,-10.8489,0.278223,0.0578205,10.0761,107.589,-10.6818
235,109,-10.5452,108.134,-10.7061,0.218667,0.0365336,10.0787,108.014,-10.579
236,109.5,-10.3911,108.62,-10.5734,-0.0102259,-0.0874578,10.0723,108.624,-10.5416
237,110,-10.2324,109.112,-10.4668,0.188216,0.0538122,10.0718,109.204,-10.2953
238,110.5,-10.0692,109.596,-10.3229,0.286396,0.199825,10.0755,109.575,-10.1443
239,111,-9.9015,110.071,-10.1489,0.187692,0.0271257,10.073,110.063,-9.99794
240,111.5,-9.72954,110.555,-10.0118,-0.128948,-0.14671,10.0739,110.553,-10.0591
241,112,-9.55339,111.048,-9.90116,-0.255362,0.0232036,10.0715,111.187,-9.99798
242,112.5,-9.37317,111.528,-9.74744,-0.0832186,0.196134,10.0699,111.486,-9.82241
243,113,-9.189,111.999,-9.5623,-0.138875,0.197899,10.0696,111.997,-9.73228
244,113.5,-9.00101,112.467,-9.37413,-0.196836,0.0616711,10.0682,112.566,-9.54112
245,114,-8.80931,112.94,-9.20177,-0.0623705,0.0565321,10.066,113.076,-9.25633
246,114.5,-8.61405,113.407,-9.01415,-0.234349,0.118729,10.0595,113.529,-9.28934
247,115,-8.41534,113.865,-8.80576,-0.0209552,-0.0247925,10.0547,113.939,-8.86278
248,115.5,-8.21333,114.335,-8.62598,-0.00231824,0.102068,10.0508,114.371,-8.71537
249,115.5,-8.21333,114.788,-8.40759,-0.0489634,-0.0435474,10.049,114.797,-8.56552
250,116,-8.00813,115.256,-8.22372,-0.0463467,0.00424844,10.0445,115.281,-8.36871
251,116.5,-7.7999,115.716,-8.02189,0.0795503,-0.00693388,10.0466,115.615,-8.07806
252,117,-7.58877,116.178,-7.82519,0.154832,0.034079,10.0501,116.131,-7.80844
253,117.5,-7.37487,116.636,-7.61899,-0.00115791,-0.026795,10.0505,116.604,-7.7369
254,118,-7.15835,117.101,-7.42722,-0.0410635,-0.184427,10.047,117.201,-7.45875
255,118.5,-6.93936,117.58,-7.27037,-0.0537516,-0.0117569,10.0437,117.827,-7.24091
256,119,-6.71802,118.043,-7.07672,0.135094,0.152657,10.0388,118.169,-6.94447
257,119.5,-6.4945,118.497,-6.85798,0.08169,0.103345,10.0372,118.58,-6.8107
258,120,-6.26894,118.954,-6.65153,0.0676759,-0.0696934,10.0353,118.857,-6.64039
259,120.5,-6.04149,119.424,-6.47306,0.166203,0.0209054,10.0383,119.295,-6.46577
260,120.5,-6.04149,119.882,-6.2655,0.0603275,0.0637387,10.0448,119.784,-6.31054
261,121,-5.81229,120.337,-6.05251,-0.0263633,-0.109442,10.0435,120.281,-6.07719
262,121.5,-5.58149,120.809,-5.87841,-0.0391319,0.026902,10.0425,120.725,-5.97122
263,122,-5.34926,121.265,-5.66861,-0.0648816,0.135175,10.0443,121.184,-5.83344
264,122.5,-5.11573,121.714,-5.4408,-0.0324334,0.0349818,10.0452,121.713,-5.49707
265,123,-4.88106,122.172,-5.2339,0.00465207,0.0485633,10.0448,122.22,-5.25603
266,123.5,-4.64541,122.623,-5.01339,0.0713091,0.0428478,10.0432,122.66,-4.98375
267,124,-4.40892,123.073,-4.7904,0.17344,-0.0403457,10.0467,123.129,-4.66941
268,124.5,-4.17176,123.531,-4.58268,0.155089,-0.102273,10.0447,123.604,-4.39061
269,125,-3.93408,123.994,-4.3864,-0.116769,-0.198299,10.0441,124.015,-4.41211
270,125.5,-3.69603,124.468,-4.21643,-0.166094,-0.026511,10.0452,124.532,-4.26512
271,126,-3.45777,124.929,-4.01632,-0.0411172,0.146908,10.0448,125.046,-4.0107
272,126.5,-3.21944,125.379,-3.79064,-0.0408536,0.182635,10.0427,125.615,-3.75194
273,127,-2.98122,125.826,-3.5583,-0.129433,0.00938263,10.0414,126.146,-3.52111
274,127.5,-2.74325,126.285,-3.3536,-0.115891,-0.0667265,10.044,126.489,-3.32958
275,128,-2.50569,126.745,-3.15231,-0.134476,0.106339,10.0419,126.978,-3.15967
276,128,-2.50569,127.186,-2.91016,-0.158415,0.10342,10.0449,127.385,-2.96915
277,128.5,-2.26868,127.629,-2.67279,-0.162205,0.129586,10.0478,127.835,-2.76793
278,129,-2.0324,128.065,-2.42131,-0.101136,0.158334,10.0489,128.233,-2.6179
279,129.5,-1.79698,128.492,-2.15417,0.198049,0.138129,10.0558,128.536,-2.22012
280,130,-1.56258,128.915,-1.88074,0.39235,-0.0364042,10.0608,128.894,-1.77458
281,130,-1.56258,129.353,-1.6328,0.329817,-0.198135,10.06,129.2,-1.61946
282,131,-1.09745,129.807,-1.41037,0.376514,-0.200343,10.0631,129.731,-1.27471
283,131.5,-0.867025,130.263,-1.19299,0.36102,-0.203442,10.0721,130.216,-1.04103
284,131.5,-0.867025,130.726,-0.99329,0.291877,-0.201291,10.0773,130.623,-0.933224
285,132,-0.638222,131.198,-0.811321,0.230525,-0.198926,10.0778,131.107,-0.657629
286,132.5,-0.411191,131.675,-0.647383,0.0289445,-0.195467,10.0715,131.624,-0.605412
287,133,-0.186078,132.158,-0.501116,0.070311,-0.0220208,10.0715,132.15,-0.388312
